symbol,yf_ticker,name,exchange
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,NSE
DIXON,DIXON.NS,Dixon Technologies (India) Ltd.,NSE
LALPATHLAB,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,NSE
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,NSE
EIDPARRY,EIDPARRY.NS,E.I.D. Parry (India) Ltd.,NSE
EIHOTEL,EIHOTEL.NS,EIH Ltd.,NSE
EDELWEISS,EDELWEISS.NS,Edelweiss Financial Services Ltd.,NSE
EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,NSE
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Ltd.,NSE
EMAMILTD,EMAMILTD.NS,Emami Ltd.,NSE
ENDURANCE,ENDURANCE.NS,Endurance Technologies Ltd.,NSE
ENGINERSIN,ENGINERSIN.NS,Engineers India Ltd.,NSE
EQUITAS,EQUITAS.NS,Equitas Holdings Ltd.,NSE
ERIS,ERIS.NS,Eris Lifesciences Ltd.,NSE
ESCORTS,ESCORTS.NS,Escorts Ltd.,NSE
ESSELPACK,ESSELPACK.NS,Essel Propack Ltd.,NSE
EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,NSE
FDC,FDC.NS,FDC Ltd.,NSE
FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,NSE
FINEORG,FINEORG.NS,Fine Organic Industries Ltd.,NSE
FINCABLES,FINCABLES.NS,Finolex Cables Ltd.,NSE
FINPIPE,FINPIPE.NS,Finolex Industries Ltd.,NSE
FSL,FSL.NS,Firstsource Solutions Ltd.,NSE
FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,NSE
FCONSUMER,FCONSUMER.NS,Future Consumer Ltd.,NSE
FLFL,FLFL.NS,Future Lifestyle Fashions Ltd.,NSE
FRETAIL,FRETAIL.NS,Future Retail Ltd.,NSE
GAIL,GAIL.NS,GAIL (India) Ltd.,NSE
GEPIL,GEPIL.NS,GE Power India Ltd.,NSE
GET&D,GET&D.NS,GE T&D India Ltd.,NSE
GHCL,GHCL.NS,GHCL Ltd.,NSE
GMRINFRA,GMRINFRA.NS,GMR Infrastructure Ltd.,NSE
GALAXYSURF,GALAXYSURF.NS,Galaxy Surfactants Ltd.,NSE
GDL,GDL.NS,Gateway Distriparks Ltd.,NSE
GAYAPROJ,GAYAPROJ.NS,Gayatri Projects Ltd.,NSE
GICRE,GICRE.NS,General Insurance Corporation of India,NSE
GILLETTE,GILLETTE.NS,Gillette India Ltd.,NSE
GSKCONS,GSKCONS.NS,GlaxoSmithkline Consumer Healthcare Ltd.,NSE
GLAXO,GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,NSE
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,NSE
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,NSE
GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet Ltd.,NSE
GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,NSE
GODREJIND,GODREJIND.NS,Godrej Industries Ltd.,NSE
GODREJPROP,GODREJPROP.NS,Godrej Properties Ltd.,NSE
GRANULES,GRANULES.NS,Granules India Ltd.,NSE
GRAPHITE,GRAPHITE.NS,Graphite India Ltd.,NSE
GRASIM,GRASIM.NS,Grasim Industries Ltd.,NSE
GESHIP,GESHIP.NS,Great Eastern Shipping Co. Ltd.,NSE
GREAVESCOT,GREAVESCOT.NS,Greaves Cotton Ltd.,NSE
GRINDWELL,GRINDWELL.NS,Grindwell Norton Ltd.,NSE
GRUH,GRUH.NS,Gruh Finance Ltd.,NSE
GUJALKALI,GUJALKALI.NS,Gujarat Alkalies & Chemicals Ltd.,NSE
GUJFLUORO,GUJFLUORO.NS,Gujarat Fluorochemicals Ltd.,NSE
GUJGASLTD,GUJGASLTD.NS,Gujarat Gas Ltd.,NSE
GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,NSE
GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,NSE
GPPL,GPPL.NS,Gujarat Pipavav Port Ltd.,NSE
GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd.,NSE
GSPL,GSPL.NS,Gujarat State Petronet Ltd.,NSE
GULFOILLUB,GULFOILLUB.NS,Gulf Oil Lubricants India Ltd.,NSE
HEG,HEG.NS,H.E.G. Ltd.,NSE
HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,NSE
HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,NSE
HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,NSE
HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,NSE
HATHWAY,HATHWAY.NS,Hathway Cable & Datacom Ltd.,NSE
HATSUN,HATSUN.NS,Hatsun Agro Product Ltd.,NSE
HAVELLS,HAVELLS.NS,Havells India Ltd.,NSE
HEIDELBERG,HEIDELBERG.NS,HeidelbergCement India Ltd.,NSE
HERITGFOOD,HERITGFOOD.NS,Heritage Foods Ltd.,NSE
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,NSE
HEXAWARE,HEXAWARE.NS,Hexaware Technologies Ltd.,NSE
HFCL,HFCL.NS,Himachal Fut Com Ltd.,NSE
HSCL,HSCL.NS,Himadri Speciality Chemical Ltd.,NSE
HIMATSEIDE,HIMATSEIDE.NS,Himatsingka Seide Ltd.,NSE
HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,NSE
HAL,HAL.NS,Hindustan Aeronautics Ltd.,NSE
HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Ltd.,NSE
