symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
POWERINDIA,HITACHI ENERGY INDIA,NSE,POWERINDIA.NS,Other,35010.0,31771.7,23129.42,38785.0,9.73,2.96,38.79,82.06,140.97,737.32,1.17,4.46,-1.82,13.65,False,False,,,2,2.4,True,False,False,,0,,37.86,False,89.06,True,True,False,False,False,False,True,True,True,True,True,True,True,True,84,61
UNIVCABLES,UNIVERSAL CABLES,NSE,UNIVCABLES.NS,Other,1158.3,934.26,804.24,1302.5,11.07,1.65,78.87,27.73,159.53,48.21,0.81,7.68,-3.05,18.84,False,False,,,1,2.58,True,False,False,,2,12W 20/12 2T,57.4,False,88.07,True,True,False,False,False,True,True,True,True,True,True,True,True,True,83,62
JAYBARMARU,JAY BHARAT MARUTI,NSE,JAYBARMARU.NS,Other,140.76,98.16,94.73,140.76,0.0,49.11,48.4,71.51,125.25,32.77,3.14,6.33,-2.32,22.42,False,False,,,0,8.33,True,True,False,,2,12W 13/12 2T,100.0,False,86.15,False,True,False,False,True,True,True,True,True,True,False,True,True,True,82,50
YASHHV,YASH HIGHVOLTAGE,BSE,544310.BO,Other,692.35,621.97,505.59,796.25,13.05,4.44,52.28,34.69,161.02,12.84,0.64,3.29,-1.4,8.31,True,True,,,0,1.39,True,False,False,,0,,0.0,True,85.71,True,True,False,False,False,False,True,True,True,True,True,True,True,True,82,55
KIRLOSENG,KIRLOSKAR OIL ENG,NSE,KIRLOSENG.NS,Industrials,1854.0,1645.83,1264.44,1990.8,6.87,7.24,29.0,66.08,148.36,93.13,0.58,5.29,-3.99,15.9,True,False,,,1,2.11,True,False,False,,2,12W 13/8 2T,62.08,False,85.69,True,True,False,False,False,True,True,True,True,True,True,True,True,True,81,58
SUNDARMHLD,SUNDARMHLD,NSE,SUNDARMHLD.NS,Other,684.25,555.58,395.39,701.5,2.46,9.21,33.08,163.47,69.08,31.38,0.4,4.77,0.52,13.76,True,False,,,2,2.53,True,False,False,,0,,87.81,False,84.21,True,True,False,False,True,True,True,True,True,True,True,True,True,True,81,60
WHEELS,WHEELS INDIA,NSE,WHEELS.NS,Auto,1480.3,1265.73,966.93,1744.0,15.12,11.33,59.55,76.17,118.75,49.11,0.25,6.74,-1.86,17.4,True,True,,,3,3.96,True,False,False,,0,,12.54,True,83.4,True,True,False,False,False,False,True,True,True,True,True,True,True,True,80,66
SPORTKING,SPORTKING INDIA,NSE,SPORTKING.NS,Other,174.72,149.71,112.57,198.5,11.98,15.83,56.81,96.78,89.54,13.53,0.65,6.49,-1.31,19.31,True,False,,,1,2.98,True,False,False,,0,,61.65,False,77.8,True,True,False,False,False,True,True,True,True,True,True,True,True,True,79,59
SBC,SBC EXPORTS,NSE,SBC.NS,Other,36.59,34.31,28.71,40.45,9.54,6.77,13.74,32.81,174.08,56.46,0.87,3.73,-0.54,12.71,False,True,,,1,1.45,True,False,False,,0,,41.07,False,82.9,True,True,False,False,False,False,True,True,True,True,True,True,True,True,79,64
BALAMINES,BALAJI AMINES,NSE,BALAMINES.NS,Other,2090.9,1446.78,1282.83,2185.0,4.31,40.59,103.51,85.63,65.47,157.99,1.13,7.54,-0.69,23.17,False,False,,,2,4.5,True,False,True,102.05,2,12W 14/13 2T,81.88,False,76.64,False,True,False,False,True,True,True,True,True,True,False,True,True,True,78,51
AVALON,AVALON TECHNOLOGIES,NSE,AVALON.NS,Other,1605.1,1221.59,1040.65,1688.5,4.94,15.72,68.78,86.12,86.4,97.5,0.66,7.1,-1.73,23.89,True,False,,,3,3.62,True,False,False,,0,,79.25,False,75.72,False,True,False,False,True,True,True,True,True,True,False,True,True,True,77,53
APARINDS,APAR INDUSTRIES,NSE,APARINDS.NS,Other,13276.0,11995.35,9629.42,14174.0,6.34,3.64,32.81,47.72,136.94,165.55,0.77,4.78,-3.91,12.91,False,False,10,3.09,2,1.68,True,False,False,,2,12W 14/8 2T,61.13,False,76.02,True,True,False,False,False,True,True,True,True,True,True,True,True,True,77,71
GVPIL,GE POWER INDIA,NSE,GVPIL.NS,Other,862.4,616.53,419.23,926.3,6.9,33.43,86.51,176.68,,40.44,1.39,5.39,-2.69,17.78,False,False,,,2,3.0,True,False,False,,2,12W 16/13 2T,78.56,False,73.65,False,False,False,False,True,True,True,True,True,True,True,False,True,True,76,48
